#separator:Comma
#html:true
#notetype:GMAT MCQ
#deck:GMAT::Practice
#tags column:9
Results of a United States study published in the Annals of Internal Medicine have shown college-educated women and women living in the South and West to be significantly more likely to be using supplemental hormones as women living in the Northeast and Midwest.,college-educated women and women living in the South and West to be significantly more likely to be using supplemental hormones as women living,college-educated women and women living in the South and West as significantly more likely to use supplemental hormones than if they are living,college-educated women and those living in the South and West being significantly more likely to use supplemental hormones than if they lived,that college-educated women and women who live in the South and West are significantly more likely to be using supplemental hormones as were women that lived,that college-educated women and women living in the South and West are significantly more likely to use supplemental hormones than women living,E,,GMAT::Verbal::SentenceCorrection
"A recent study has found amoxicillin, long a standard treatment for ear infections, as being about as effective as newer, more expensive antibiotics and causing fewer side effects.","amoxicillin, long a standard treatment for ear infections, as being about as effective as newer, more expensive antibiotics and causing","amoxicillin, long a standard treatment for ear infections, to be about as effective compared to newer, more expensive antibiotics and with","amoxicillin, long a standard treatment for ear infections, to be about as effective as newer, more expensive antibiotics and that it causes","that amoxicillin, long a standard treatment for ear infections, is about as effective as newer, more expensive antibiotics and causes","that amoxicillin, long a standard treatment for ear infections, is about as effective compared to newer, more expensive antibiotics and with",D,,GMAT::Verbal::SentenceCorrection
"Methane, which has long been counted among the greenhouse gases that are implicated in global warming, comes both from natural sources such as bogs and from a host of human sources, including coal mines, leaking pipelines, landfills, and rice paddies.","that are implicated in global warming, comes both from","that are implicated in global warming, coming from both","being implicated in global warming, comes from both",implicated in global warming and coming both from,"implicated in global warming, that come both from",A,,GMAT::Verbal::SentenceCorrection
"Archaeologists in Egypt have excavated a 5,000-year-old wooden hull that is the earliest surviving example of a &quot;built&quot; boat--in other words, a boat constructed out of planks fitted together--and that thus represents a major advance, in terms of boat-building technology, over the dugout logs and reed vessels of more ancient vintage.",together--and that thus represents,together--and this has represented,"together, and it represents",together that was representing,together to represent,A,,GMAT::Verbal::SentenceCorrection
"Although they are more temperamental and far more expensive than transistor-driven amplifiers, many audiophiles and audio professionals prefer the warmer, richer tones produced by vacuum-tube-driven amplifiers.","many audiophiles and audio professionals prefer the warmer, richer tones produced by vacuum-tube-driven amplifiers","many audiophiles and audio professionals think the warmer, richer tones produced by vacuum-tube-driven amplifiers make them preferable","warmer, richer tones are produced by vacuum-tube-driven amplifiers and they are thus preferred by many audiophiles and audio professionals","vacuum-tube-driven amplifiers are preferred because they produce warmer, richer tones by many audiophiles and audio professionals","vacuum-tube-driven amplifiers are preferred by many audiophiles and audio professionals because these amplifiers produce warmer, richer tones",E,,GMAT::Verbal::SentenceCorrection
"Research has shown that when speaking, individuals who have been blind from birth and have thus never seen anyone gesture nonetheless make hand motions just as frequently and in the same way as sighted people do, and that they will gesture even when conversing with another blind person.","have thus never seen anyone gesture nonetheless make hand motions just as frequently and in the same way as sighted people do, and that","have thus never seen anyone gesture but nonetheless make hand motions just as frequently and in the same way that sighted people do, and","have thus never seen anyone gesture, that they nonetheless make hand motions just as frequently and in the same way as sighted people do, and","thus they have never seen anyone gesture, but nonetheless they make hand motions just as frequently and in the same way that sighted people do, and that","thus they have never seen anyone gesture nonetheless make hand motions just as frequently and in the same way that sighted people do, and",A,,GMAT::Verbal::SentenceCorrection
"Both the complexity of the phenomenon known as extinction and the vastness of the biosphere, having prompted many scientists to call for a large increase in the number of biologists working both in the field and in laboratories to clarify the relationships among the planet&#x27;s many endangered life-forms.","and the vastness of the biosphere, having prompted many scientists to call for a large increase in the number of biologists working both",and the vastness of the biosphere has prompted many scientists calling for a large increase in the number of biologists both working,and the vastness of the biosphere have prompted many scientists to call for a large increase in the number of biologists working both,as well as the vastness of the biosphere have prompted many scientists to call for a large increase in the number of biologists who both work,as well as the vastness of the biosphere has prompted many scientists to call for a large increase in the number of biologists who work both,C,,GMAT::Verbal::SentenceCorrection
The decline of the mountain yellow-legged frog in the high reaches of the Sierra Nevada has become severe enough for the United States Fish and Wildlife Service quite possibly to list it as an endangered species in the near future.,severe enough for the United States Fish and Wildlife Service quite possibly to list it,severe enough so that the United States Fish and Wildlife Service could well list them,severe enough for it quite possibly to be listed by the United States Fish and Wildlife Service,so severe that the United States Fish and Wildlife Service could well list it,so severe that they could well be listed by the United States Fish and Wildlife Service,D,,GMAT::Verbal::SentenceCorrection
"Unlike frogs that metamorphose from tadpoles into adults within a one-year period, it takes three to four years for the mountain yellow-legged frog of the Sierra Nevada to reach adulthood, and so they are restricted to deeper bodies of water that do not dry up in summer or freeze solid in winter.","it takes three to four years for the mountain yellow-legged frog of the Sierra Nevada to reach adulthood, and so they are","it takes the mountain yellow-legged frog of the Sierra Nevada three to four years until it reaches adulthood, and therefore it is","in the Sierra Nevada, mountain yellow-legged tree frogs take three to four years to reach adulthood, thus being","mountain yellow-legged frogs of the Sierra Nevada take three to four years until they reach adulthood, thus","mountain yellow-legged frogs of the Sierra Nevada take three to four years to reach adulthood, and so they are",E,,GMAT::Verbal::SentenceCorrection
"In some species of cricket, the number of chirps per minute used by the male for attracting females rise and fall in accordance with the surrounding temperature, and they can in fact serve as an approximate thermometer.","for attracting females rise and fall in accordance with the surrounding temperature, and they can in fact serve","for attracting females rises and falls in accordance with the surrounding temperature, which can in fact serve","in attracting females rise and fall in accordance with the surrounding temperature, in fact possibly serving","to attract females rises and falls in accordance with the surrounding temperature, and it can in fact serve","to attract females rises and falls in accordance with the surrounding temperature, in fact possibly serving",D,,GMAT::Verbal::SentenceCorrection
"Industrialization and modern methods of insect control have improved the standard of living around the globe while at the same time they have introduced some 100,000 dangerous chemical pollutants, having gone virtually unregulated since they were developed more than 50 years ago.","while at the same time they have introduced some 100,000 dangerous chemical pollutants, having","while at the same time introducing some 100,000 dangerous chemical pollutants that have","while they have introduced some 100,000 dangerous chemical pollutants at the same time, which have","but introducing some 100,000 dangerous chemical pollutants at the same time that have","but at the same time introducing some 100,000 dangerous chemical pollutants, having",B,,GMAT::Verbal::SentenceCorrection
"A decade after initiating the nation&#x27;s most comprehensive and aggressive antismoking program, per capita consumption of cigarettes in California declined from over 125 packs annually per person to about 60, a drop more than twice as great as in the nation as a whole.","per capita consumption of cigarettes in California declined from over 125 packs annually per person to about 60, a drop more than twice as great as","annual per capita consumption of cigarettes in California declined from over 125 packs to about 60, more than twice as great as that","California&#x27;s annual per capita consumption of cigarettes declined from over 125 packs per person to about 60, more than twice as great as the drop","California has seen per capita consumption of cigarettes decline from over 125 packs annually to about 60, a drop more than twice as great as that","California has seen annual per capita consumption of cigarettes decline from over 125 packs per person to about 60, more than twice as great as that",D,,GMAT::Verbal::SentenceCorrection
"A study of food resources in the North Pacific between 1989 and 1996 revealed that creatures of the seabed were suffering from dwindling food supplies, possibly resulting from increasing sea surface temperatures during the same period.","that creatures of the seabed were suffering from dwindling food supplies, possibly resulting from increasing","that creatures of the seabed were suffering because food supplies were dwindling, possibly as a result of an increase in","that creatures of the seabed were suffering because of food supplies, which were dwindling possibly as a result of increasing","creatures of the seabed that were suffering from food supplies that were dwindling, possibly resulting from an increase in","creatures of the seabed that were suffering because food supplies were dwindling, which possibly resulted from increasing",B,,GMAT::Verbal::SentenceCorrection
"To help counteract the adverse effects of trout stocking on the amphibian populations in certain mountain lakes, biologists are recommending cutting back on trout stocking on the part of some states and even their being removed from some popular fishing lakes.",cutting back on trout stocking on the part of some states and even their being removed,cutting back on trout stocking on the part of some states and even that they remove them,that trout stocking be cut back in some states and they even remove the trout,that some states cut back on trout stocking and even their being removed,that some states cut back on trout stocking and even remove the trout,E,,GMAT::Verbal::SentenceCorrection
"Many environmentalists, and some economists, say that free trade encourages industry to relocate to countries with ineffective or poorly enforced antipollution laws, mostly in the developing world, and that, in order to maintain competitiveness, rich nations have joined this downward slide toward more lax attitudes about pollution.","that, in order to maintain competitiveness, rich nations have joined this downward slide toward more lax attitudes about pollution","that, for maintaining competitiveness, rich nations join in this downward slide toward more lax attitudes about pollution",that rich nations join this downward slide toward more lax attitudes about pollution because of wanting to maintain competitiveness,"that in rich nations, joining this downward slide toward more lax attitudes about pollution is a result of wanting to maintain competition",that wanting to maintain competition is making rich nations join in this downward slide toward an attitude about pollution that is more lax,A,,GMAT::Verbal::SentenceCorrection
Recent breakthroughs in technology have made it possible that high-definition digital video cameras are able to capture material with a degree of fidelity that nearly compares to 35-millimeter film and to project it digitally in theaters with no resulting loss of image quality.,it possible that high-definition digital video cameras are able to capture material with a degree of fidelity that nearly compares to,it possible to have high-definition digital video cameras that can capture material at a degree of fidelity almost like that with,it possible for high-definition digital video cameras to capture material with a degree of fidelity nearly comparable to that of,possible high-definition digital video cameras that can capture material at a degree of fidelity almost like,possible high-definition digital video cameras able to capture material with a degree of fidelity that nearly compares to that with,C,,GMAT::Verbal::SentenceCorrection
"Simply because they are genetically engineered does not make it any more likely for plants to become an invasive or persistent weed, according to a decade-long study published in the journal Nature.",because they are genetically engineered does not make it any more likely for plants to,because it is genetically engineered does not make a plant any more likely to,being genetically engineered does not make it any more likely that plants will,being genetically engineered does not make a plant any more likely to,being genetically engineered does not make a plant any more likely that it will become,D,,GMAT::Verbal::SentenceCorrection
"In Britain, &quot;pig&quot; refers to any member of the class of domestic swine, but the United States uses the term when referring only to younger swine not yet ready for market and weighing less than 82 kilograms (180 pounds).",the United States uses the term when referring,the United States term refers,in the United States the term refers,in the United States they use the term as it refers,it is used in the United States when referring,C,,GMAT::Verbal::SentenceCorrection
"Even though it was not illegal for the bank to share its customers&#x27; personal and financial information with an outside marketing company in return for a commission on sales, the state&#x27;s attorney general accused the bank of engaging in deceptive business practices by failing to honor its promise to its customers to keep records private.",by failing to honor its promise to its customers to keep,by its failure of honoring its promise to its customers to keep,in its failing to honor its promise to its customers of keeping,because of its failure in honoring its promise to its customers in keeping,because of its failure to honor its promise to its customers of keeping,A,,GMAT::Verbal::SentenceCorrection
"Officials at the United States Mint believe that the Sacagawea dollar coin will be used more as a substitute for four quarters rather than for the dollar bill because its weight, only 8.1 grams, is far less than four quarters, which weigh 5.67 grams each.","more as a substitute for four quarters rather than for the dollar bill because its weight, only 8.1 grams, is far less than","more as a substitute for four quarters than the dollar bill because it weighs only 8.1 grams, far lighter than","as a substitute for four quarters more than for the dollar bill because it weighs only 8.1 grams, far less than",as a substitute for four quarters more than the dollar bill because its weight of only 8.1 grams is far lighter than it is for,"as a substitute more for four quarters rather than for the dollar bill because its weight, only 8.1 grams, is far less than it is for",C,,GMAT::Verbal::SentenceCorrection
"Women are expected to be the majority of students entering law school this fall, a trend ultimately placing more women in leadership positions in politics and business.","Women are expected to be the majority of students entering law school this fall, a trend ultimately placing","The majority of students entering law school this fall are expected to be women, a trend that will ultimately place","The majority of students entering law school this fall are expected to be women, which will ultimately place","It is expected that the majority of students entering law school this fall will be women, a trend ultimately placing","It is expected for women to be the majority of students entering law school this fall, which will ultimately place",B,,GMAT::Verbal::SentenceCorrection
"According to a new report by the surgeon general, women with less than a high school education had three times the likelihood that they would begin smoking as women who went to college.",had three times the likelihood that they would begin smoking,had three times the likelihood of beginning smoking,were three times more likely to begin to smoke,were three times more likely that they would begin to smoke,were three times as likely to begin smoking,E,,GMAT::Verbal::SentenceCorrection
"The discovery of glass being expandable and able to be shaped by human breath revolutionized glassworking to such an extent that today &quot;glassblowing&quot; has become the generic term for all glassworking, whether the glass is blown or formed by other techniques.",of glass being expandable and able to be,of glass that is capable of expansion and,of glass being capable of expansion and that it can be,that glass can be expanded and it is able to be,that glass can be expanded and,E,,GMAT::Verbal::SentenceCorrection
"The federal immigration station on Ellis Island, which was first opened in 1892, then rebuilt in 1900, processing nearly three quarters of all immigrants entering the United States in the first quarter of the twentieth century.","The federal immigration station on Ellis Island, which was first opened in 1892, then rebuilt in 1900, processing nearly three quarters of all immigrants entering the United States in the first quarter of the twentieth century.","Having processed nearly three quarters of all immigrants who enter the United States in the first quarter of the twentieth century, the federal immigration station on Ellis Island first opened in 1892 and then was rebuilt in 1900.","Processing nearly three quarters of all immigrants to enter the United States in the first quarter of the twentieth century, the federal immigration station on Ellis Island first opened in 1892, being rebuilt in 1900.","First opened in 1892, then rebuilt in 1900, the federal immigration station on Ellis Island processed nearly three quarters of all immigrants entering the United States in the first quarter of the twentieth century.","Of all immigrants to enter the United States in the first quarter of the twentieth century, the federal immigration station on Ellis Island processed nearly three quarters of them, having first opened in 1892 and rebuilt in 1900.",D,,GMAT::Verbal::SentenceCorrection
"Hans Christian Andersen wrote fairy tales, which have been some of the most frequently translated works in literary history, while he wrote plays, novels, poems, and travel books, as well as several autobiographies, which remained almost unknown outside his native Denmark.","Hans Christian Andersen wrote fairy tales, which have been some of the most frequently translated works in literary history, while he wrote plays, novels, poems, and travel books, as well as several autobiographies, which remained","Hans Christian Andersen wrote fairy tales, which, while among the most frequently translated works in literary history, his plays, novels, poems, and travel books, as well as several autobiographies remain","Even as Hans Christian Andersen&#x27;s fairy tales have been among the most frequently translated works in literary history, still his plays, novels, poems, and travel books, as well as several autobiographies, remain","Unlike the fairy tales written by Hans Christian Andersen, which are some of the most frequently translated works in literary history, he wrote plays, novels, poems, and travel books, as well as several autobiographies, which remained","Although Hans Christian Andersen wrote fairy tales that are among the most frequently translated works in literary history, his plays, novels, poems, and travel books, as well as several autobiographies, remain",E,,GMAT::Verbal::SentenceCorrection
"Though certain breeds of dog are renowned for their sense of smell, there is often a greater difference in scenting ability between two members of a single breed as there is between members of different breeds.",is often a greater difference in scenting ability between two members of a single breed as there is,is often more difference in scenting ability between two members of a single breed as to find one,is often a greater difference in scenting ability between two members of a single breed than,are often greater differences in scenting ability between two members of a single breed as there are,are often greater differences in scenting ability between two members of a single breed than there is,C,,GMAT::Verbal::SentenceCorrection
"Thunderclouds form when warm, moist air rises into cooler air above, because either the ground is warmer than usually or because the interaction of two air masses, one warm and one cold, forces warm air to rise.",because either the ground is warmer than usually or because,because either the ground is warmer than usual or because of,because of either the ground being warmer than usual or because,either because of the ground&#x27;s being warmer than usually or because of,either because the ground is warmer than usual or because,E,,GMAT::Verbal::SentenceCorrection
"A study on couples&#x27; retirement transitions found that women who took new jobs after retiring from their primary careers reported high marital satisfaction, more than when retiring completely.",more than when retiring,more than if they were to retire,more so than those who retired,which was more so than those retiring,which was more than if they had retired,C,,GMAT::Verbal::SentenceCorrection
"Many population studies have linked a high-salt diet to high rates of hypertension and shown that in societies where they consume little salt, their blood pressure typically does not rise with age.","shown that in societies where they consume little salt, their","shown that in societies that have consumed little salt, their","shown that in societies where little salt is consumed,","they showed that in societies where little salt is consumed,","they showed that in societies where they consume little salt, their",C,,GMAT::Verbal::SentenceCorrection
"India, like Italy and China, has no single dominant cuisine:  Indian food comprises many different styles of cooking, with each a product of their regional influences, from the fiery vegetarian dishes of the south to the Portuguese-influenced Goan cooking of the west, to the more familiar Mogul food of the north.",with each a product of their,with each as a product of its,each products of their,each a product of,each products of,D,,GMAT::Verbal::SentenceCorrection
"The population of India has been steadily increasing for decades, and it will probably have what is estimated as 1.6 billion people by 2050 and surpass China as the world&#x27;s most populous nation.",it will probably have what is estimated as,they are likely to have,the country will probably have,there will probably be,there will be an estimated,C,,GMAT::Verbal::SentenceCorrection
"It was only after Katharine Graham became publisher of The Washington Post in 1963 that it moved into the first rank of American newspapers, and it was under her command that the paper won high praise for its unrelenting reporting of the Watergate scandal.","It was only after Katharine Graham became publisher of The Washington Post in 1963 that it moved into the first rank of American newspapers, and it was under her command that the paper won high praise","It was only after Katharine Graham&#x27;s becoming publisher of The Washington Post in 1963 that it moved into the first rank of American newspapers, and under her command it had won high praise","Katharine Graham became publisher of The Washington Post in 1963, and only after that did it move into the first rank of American newspapers, having won high praise under her command","Moving into the first rank of American newspapers only after Katharine Graham became its publisher in 1963, The Washington Post, winning high praise under her command","Moving into the first rank of American newspapers only after Katharine Graham&#x27;s becoming its publisher in 1963, The Washington Post won high praise under her command",A,,GMAT::Verbal::SentenceCorrection
"Due to automobile-related jobs in the 1920&#x27;s employing one of every eight workers, the automobile industry dominated the American economy.","Due to automobile-related jobs in the 1920&#x27;s employing one of every eight workers, the automobile industry dominated the American economy.","One out of every eight workers were employed in automobile-related jobs in the 1920&#x27;s, with the American economy being dominated by the automobile industry.","The automobile industry dominated the American economy in the 1920&#x27;s, with one of every eight workers having been employed in automobile-related jobs.","In the 1920&#x27;s, the automobile industry had dominated the American economy, when one out of every eight workers was employed in an automobile-related job.","In the 1920&#x27;s, the automobile industry dominated the American economy, with one out of every eight workers employed in an automobile-related job.",E,,GMAT::Verbal::SentenceCorrection
"Like any star of similar mass would do, once the Sun has exhausted the hydrogen in its core, it expands into a red giant, eventually ejecting its outer envelope of gases to become a white dwarf.","Like any star of similar mass would do, once the Sun has exhausted the hydrogen in its core, it expands into a red giant, eventually ejecting","Like any star of similar mass, once the hydrogen in the Sun&#x27;s core is exhausted, then it expands into a red giant and eventually ejects","As in the case of any star of similar mass, once the hydrogen in the Sun&#x27;s core is exhausted, it will expand into a red giant, and eventually ejecting","As any star of similar mass would, once the hydrogen in the Sun&#x27;s core is exhausted it will expand into a red giant and will eventually eject","As would be the case with any star of similar mass, once the Sun exhausts the hydrogen in its core, it will expand into a red giant and eventually eject",E,,GMAT::Verbal::SentenceCorrection
"When the temperature of a gas is increased, it is either accompanied by an increase in pressure if the gas is enclosed in a container, or an increase in volume if the gas is able to expand.","When the temperature of a gas is increased, it is either accompanied by an increase in pressure if the gas is enclosed in a container, or","When the temperature of a gas is increased, it is accompanied either by an increase in pressure if it is enclosed in a container or","When the temperature of a gas is increased, the increase is either accompanied by an increase in pressure if the gas is enclosed in a container or by","Any increase in the temperature of a gas is either accompanied by an increase in pressure if it is enclosed in a container, or by",Any increase in the temperature of a gas is accompanied either by an increase in pressure if the gas is enclosed in a container or by,E,,GMAT::Verbal::SentenceCorrection
"Surveys have shown that in up to 40 percent of elderly people living independently in affluent countries, the consumption of one or more essential nutrients is insufficient or they have deficient levels of these nutrients in their blood.","in up to 40 percent of elderly people living independently in affluent countries, the consumption of one or more essential nutrients is insufficient or they have","in up to 40 percent of elderly people who live independently in affluent countries, they consume one or more essential nutrients insufficiently or have","in up to 40 percent of elderly people who live independently in affluent countries, one or more essential nutrients are consumed insufficiently or having",up to 40 percent of elderly people living independently in affluent countries who consume insufficient amounts of one or more essential nutrients or who have,up to 40 percent of elderly people who live independently in affluent countries consume insufficient amounts of one or more essential nutrients or have,E,,GMAT::Verbal::SentenceCorrection
"According to two teams of paleontologists, recent fossil discoveries in Pakistan show that whales, porpoises, and dolphins are more closely related to some of the oldest known even-toed ungulates--a group of hoofed mammals that today includes cows, camels, pigs, and hippos--than to any other mammals.","that whales, porpoises, and dolphins are more closely related to some of the oldest known even-toed ungulates--a group of hoofed mammals that today includes cows, camels, pigs, and hippos--than","that whales, porpoises, and dolphins are more closely related to some of the oldest known even-toed ungulates--a group of hoofed mammals that today include cows, camels, pigs, and hippos--as","whales, porpoises, and dolphins to be more closely related to some of the oldest known even-toed ungulates--a group of hoofed mammals that today include cows, camels, pigs, and hippos--than they are","whales, porpoises, and dolphins as being more closely related to some of the oldest known even-toed ungulates--a group of hoofed mammals that today includes cows, camels, pigs, and hippos--as they are","whales, porpoises, and dolphins as more closely related to some of the oldest known even-toed ungulates--a group of hoofed mammals that today include cows, camels, pigs, and hippos--than",A,,GMAT::Verbal::SentenceCorrection
"Whereas the use of synthetic fertilizers has greatly expanded agricultural productivity in many parts of the world, an increase in their use can create serious environmental problems such as water pollution, and their substitution for more traditional fertilizers may accelerate soil structure deterioration and soil erosion.","an increase in their use can create serious environmental problems such as water pollution, and their substitution for more traditional fertilizers","an increase in their use can create serious environmental problems like water pollution, and if substituted for more traditional fertilizers, it","if these fertilizers are used increasingly, they can create serious environmental problems such as water pollution, and if used as substitutions for more traditional fertilizers, they","the increased usage of these fertilizers can create serious environmental problems such as water pollution, while if substituted for more traditional fertilizers, this substitution","the increased usage of these fertilizers can create serious environmental problems like water pollution, while their substitution for more traditional fertilizers",A,,GMAT::Verbal::SentenceCorrection
"The computer company registered a $16 million net loss for the year, largely because it was profitable only overseas, where much of their profits were used for paying higher taxes, while continuing to lose money in North America.","where much of their profits were used for paying higher taxes, while continuing","where much of their profits went to pay higher taxes, as they continued","where much of its profit went to pay higher taxes, while it continued","with much of their profits going to pay higher taxes, while continuing","with much of the profit used for paying higher taxes, as it continued",C,,GMAT::Verbal::SentenceCorrection
"The agreement, the first to formally require industrialized countries to cut emissions of gases linked to global warming, is a formal protocol by which 38 industrialized countries must reduce emissions of these gases by 2012 or face heavy penalties.",by which,for which,under which,such that,wherein,C,,GMAT::Verbal::SentenceCorrection
"After decreasing steadily in the mid-1990&#x27;s, the percentage of students in the United States finishing high school or having earned equivalency diplomas increased in the last three years of the decade, up to 86.5 percent in 2000 from 85.9 percent in 1999 and 84.8 percent in 1998.","finishing high school or having earned equivalency diplomas increased in the last three years of the decade, up to 86.5 percent in 2000 from 85.9 percent in 1999 and","finishing high school or earning equivalency diplomas, increasing in the last three years of the decade, rising to 86.5 percent in 2000 from 85.9 percent in 1999 and from","having finished high school or earning an equivalency diploma increased in the last three years of the decade, and rose to 86.5 percent in 2000 from 85.9 percent in 1999 and from","who either finished high school or they earned an equivalency diploma, increasing in the last three years of the decade, rose to 86.5 percent in 2000 from 85.9 percent in 1999 and","who finished high school or earned equivalency diplomas increased in the last three years of the decade, to 86.5 percent in 2000 from 85.9 percent in 1999 and",E,,GMAT::Verbal::SentenceCorrection
"According to a study published in The New England Journal of Medicine, aspirin prevents blood clots just as well as a commonly used and more expensive blood-thinning drug does.",prevents blood clots just as well as a commonly used and more expensive blood-thinning drug does,prevents blood clots just as well as does a commonly used and a more expensive blood-thinning drug,prevents blood clots just as well as will a commonly used and more expensive blood-thinning drug,works just as well as a commonly used and more expensive blood-thinning drug at the prevention of blood clots,"works just as well as does a commonly used blood-thinning drug, which is also more expensive, at preventing blood clots",A,,GMAT::Verbal::SentenceCorrection
"In addition to her work on the Miocene hominid fossil record, Mary Leakey contributed to archaeology through her discovery of the earliest direct evidence of hominid activity and through her painstaking documentation of East African cave paintings.",Mary Leakey contributed to archaeology through her discovery of the earliest direct evidence of hominid activity and through her painstaking documentation of,Mary Leakey contributed to archaeology by her discovery of the earliest direct evidence of hominid activity and painstakingly documenting,Mary Leakey was a contributor to archaeology by discovering the earliest direct evidence of hominid activity and with her painstaking documentation of,Mary Leakey&#x27;s contributions to archaeology include her discovery of the earliest direct evidence of hominid activity and painstakingly documenting,Mary Leakey&#x27;s contributions to archaeology include her discovering the earliest direct evidence of hominid activity and painstaking documentation of,A,,GMAT::Verbal::SentenceCorrection
The particular design of muscles and bones in the neck and limbs of the turtle allow that it can draw in its exposed parts such that an attacker can find nothing but hard shell to bite.,allow that it can draw in its exposed parts such that,"allow it to draw in its exposed parts, and so",allows for it to draw in its exposed parts and that,"allows that it can draw in its exposed parts, and so","allows it to draw in its exposed parts, so that",E,,GMAT::Verbal::SentenceCorrection
"A recent review of pay scales indicates that CEO&#x27;s now earn an average of 419 times more pay than blue-collar workers, compared to a ratio of 42 times in 1980.","that CEO&#x27;s now earn an average of 419 times more pay than blue-collar workers, compared to a ratio of 42 times","that, on average, CEO&#x27;s now earn 419 times the pay of blue-collar workers, a ratio that compares to 42 times","that, on average, CEO&#x27;s now earn 419 times the pay of blue-collar workers, as compared to 42 times their pay, the ratio","CEO&#x27;s who now earn on average 419 times more pay than blue-collar workers, as compared to 42 times their pay, the ratio","CEO&#x27;s now earning an average of 419 times the pay of blue-collar workers, compared to the ratio of 42 times",C,,GMAT::Verbal::SentenceCorrection
"In the past several years, astronomers have detected more than 80 massive planets, most of them as large or larger than Jupiter, which circle other stars.","most of them as large or larger than Jupiter, which circle",most of them as large or larger than Jupiter and circling,"most of them at least as large as Jupiter, circling","mostly at least as large as Jupiter, which circle","mostly as large or larger than Jupiter, circling",C,,GMAT::Verbal::SentenceCorrection
"Among lower-paid workers, union members are less likely than nonunion members to be enrolled in lower-end insurance plans imposing stricter limits on medical services and requiring doctors to see more patients, and spend less time with each.","imposing stricter limits on medical services and requiring doctors to see more patients, and spend","imposing stricter limits on medical services, requiring doctors to see more patients, and spending","that impose stricter limits on medical services, require doctors to see more patients, and spend","that impose stricter limits on medical services and require doctors to see more patients, spending","that impose stricter limits on medical services, requiring doctors to see more patients and spending",D,,GMAT::Verbal::SentenceCorrection
"At one time, the majestic American chestnut was so prevalent that it was said a squirrel could jump from tree to tree without once touching the ground between New York State and Georgia.",so prevalent that it was said a squirrel could,so prevalent that a squirrel was said that it could,so prevalent for a squirrel to be said to be able to,prevalent enough that it was said a squirrel could,prevalent enough for a squirrel to be said to be able to,A,,GMAT::Verbal::SentenceCorrection
"It seems likely that a number of astronomical phenomena, such as the formation of planetary nebulas, may be caused by the interaction where two stars orbit each other at close range.",may be caused by the interaction where two stars orbit each other,may be caused by the interaction between two stars that each orbit the other,are because of the interaction between two stars that orbit each other,are caused by the interaction of two stars where each is orbiting the other,are caused by the interaction of two stars orbiting each other,E,,GMAT::Verbal::SentenceCorrection
"The Swedish warship Vasa, sunk in 1628 and raised in 1961, was preserved in the cold water of Stockholm harbor, where low salinity inhibits the growth of marine borers that in most seas devour every exposed scrap of a sunken ship&#x27;s wooden hull.","was preserved in the cold water of Stockholm harbor, where low salinity inhibits","being preserved in the cold water of Stockholm harbor, because the low salinity there is able to inhibit","and preserved in the cold water of Stockholm harbor, the low salinity there inhibits","having been preserved in the cold water of Stockholm harbor, whose low salinity inhibits","had been preserved in the cold water of Stockholm harbor, because of low salinity there inhibiting",A,,GMAT::Verbal::SentenceCorrection
"According to scientists at the University of Alaska, while the surface temperature of the globe has risen over the last century by about one degree Fahrenheit, the surface temperature in Alaska, Siberia, and northwestern Canada has increased in the previous thirty years by about five degrees.","the surface temperature in Alaska, Siberia, and northwestern Canada has increased in the previous thirty years by about five degrees","the surface temperature in Alaska, Siberia, and northwestern Canada has increased over the last thirty years by about five degrees","there was an increase in the last thirty years by about five degrees in Alaska, Siberia, and northwestern Canada","it had increased in Alaska, Siberia, and northwestern Canada by about five degrees over the previous thirty years","it has increased in Alaska, Siberia, and northwestern Canada over the previous thirty years by about five degrees",B,,GMAT::Verbal::SentenceCorrection
"On Earth, among the surest indications of sunspot cycles are believed to be the rate that trees grow, as seen in the rings visible in the cross sections of their trunks.","On Earth, among the surest indications of sunspot cycles are believed to be the rate that trees grow","On Earth, among the surest indications of sunspot cycles are, it is believed, the rate of tree growth","On Earth, the rate at which trees grow is believed to be among the surest indications of sunspot cycles","Among the surest indications on Earth of sunspot cycles, believed to be the tree growth rate",Among the surest indications on Earth of sunspot cycles is believed to be the rate at which trees grow,E,,GMAT::Verbal::SentenceCorrection
"In human hearing, subtle differences in how the two ears hear a given sound help the listener determine the qualities of that sound.",in how the two ears hear a given sound help the listener determine,in the two ears hearing a given sound help the listener in determining,in how a sound is heard by the two ears helps the listener determine,between how the two ears hear a given sound helps the listener in determining,between how a sound is heard by the two ears help the listener in determining,A,,GMAT::Verbal::SentenceCorrection
The federal rules aimed at protecting human subjects of medical experiments were established to ensure that patients must be warned of potential risks and an independent panel would evaluate the experiment before it was conducted.,must be warned of potential risks and an independent panel would,must be warned of potential risks and that an independent panel,are warned about potential risks and that an independent panel,will be warned about potential risks and an independent panel would,would be warned of potential risks and that an independent panel would,E,,GMAT::Verbal::SentenceCorrection
"According to a 1996 study published in the Journal of Human Resources, Americans of Middle Eastern descent were twice as likely as was the national average to be self-employed.",as was the national average to be self-employed,as the average American to be self-employed,as the national average that they would be self-employed,to be self-employed than was the average American,that they would be self-employed than was the national average,B,,GMAT::Verbal::SentenceCorrection
